杭州,hangzhou14
梧州,wuzhou142
扶风,fufeng1880
朔州,shuozhou903
临海,linhai544
张家港,zhangjiagang203
浮梁,fuliang2420
诸暨,zhuji690
黄冈,huanggang859
栾川,luanchuan1930
仙居,xianju691
海南,hainantibetanautonomousprefecture120074
楚雄,chuxiong510
五大连池,wudalianchi857
巴马,bama3041
太仓,taicang255
台山,taishan673
盘锦,panjin602
浪卡子,langkazi2438
聊城,liaocheng635
沧州,cangzhou540
安图,antu643
邢台,xingtai460
赤水,chishui1770
新竹,hsinchu1197
许昌,xuchang465
工布江达,gongbujiangda120396
商丘,shangqiu849
六盘水,liupanshui679
平顶山,pingdingshan810
德州,dezhou603
巴中,bazhong703
宿迁,suqian492
绩溪,jixi2627
文昌,wenchang1007
韶山,shaoshan346
萍乡,pingxiang714
乾县,qianxian2742
阿克苏,akesu920
茂县,maoxian3164
潜山,qianshan1016
瑞安,ruian535
亳州,bozhou404
格尔木,geermu332
马鞍山,maanshan503
黄龙,huanglong905
蚌埠,bengbu205
揭阳,jieyang835
永州,yongzhou869
正定,zhengding2581
平潭,pingtan2652
佳木斯,jiamusi501
攀枝花,panzhihua786
邛崃,qionglai1403
红原,hongyuan3099
自贡,zigong575
三门峡,sanmenxia522
英德,yingde962
哈密市,hami567
三江,sanjiang975
东营,dongying612
缙云,jinyun1021
介休,jiexiu2982
黄石,huangshi710
博罗,boluo954
蔚县,yuxian2565
建德,jiande687
合作,hezuo2784
定日,dingri2450
茂名,maoming615
玉林,yulin141
苍南,cangnan2049
兰溪,lanxi611
巢湖,chaohu187
江孜,jiangzi2437
库尔勒,kuerle429
达州,dazhou910
防城港,fangchenggang698
保亭,baoting1009
河池,hechi838
抚顺,fushun514
辽阳,liaoyang881
菏泽,heze708
新昌,xinchang75
怒江,nujiang681
吕梁,lvliang902
开平,kaiping525
晋江,jinjiang675
汕尾,shanwei624
兴化,xinghua1946
广安,guangan693
德钦,deqin2178
恩平,enping623
吉首,jishou865
青州,qingzhou898
通辽,tongliao885
德令哈,delingha891
湖口,hukou2386
石嘴山,shizuishan889
南雄,nanxiong2921
阜阳,fuyang361
博尔塔拉,boertala2513
眉山,meishan914
黄南,huangnan120042
剑川,jianchuan2215
通化,tonghua874
玉树,yushu896
泰宁,taining2678
霞浦,xiapu1154
平山,pingshan1139
永泰,yongtai2665
宾川,binchuan2157
邵阳,shaoyang867
吉木萨尔,jimusaer2498
平湖,pinghu533
浏阳,liuyang1337
金寨,jinzhai2623
乳山,rushan2046
武威,wuwei290
句容,jurong817
和田,hetian557
驻马店,zhumadian642
商洛,shangluo906
遂宁,suining605
佛冈,fogang2935
长兴,changxing1832
朝阳,chaoyang1104
昌黎,changli1835
瑞金,ruijin1159
云龙,yunlong2203
云和,yunhe2251
沂水,yishui2035
石河子,shihezi1168
彭州,pengzhou1747
福鼎,fuding613
同仁,tongren895
启东,qidong1542
那曲,naqu919
怀来,huailai2527
连城,liancheng609
北川,beichuan1934
周口,zhoukou709
平凉,pingliang424
南澳,nanao958
东方,dongfang842
眉县,meixian2776
澎湖,penghu1367
文成,wencheng1003
昭通,zhaotong929
宜川,yichuan2757
富蕴,fuwen2509
乌兰察布,wulanchabu1358
滨州,binzhou660
阜康,fukang2506
庐山,xingzi2390
江油,jiangyou1037
肥西,feixi2619
乳源,ruyuan2937
胶州,jiaozhou1836
波密,bomi2436
娄底,loudi866
吴忠,wuzhong890
勐腊,mengla2210
赤壁,chibi1135
涞水,laishui2545
嵊州,shengzhou553
孝感,xiaogan862
黑水,heishui120552
荆门,jingmen634
龙泉,longquan2033
阳泉,yangquan904
昭平,zhaoping3067
绥中,suizhong2133
益阳,yiyang868
龙口,longkou1567
钦州,qinzhou697
宜良,yiliang2177
辉县,huixian2313
庆元,qingyuan2248
西峡,xixia2268
如皋,rugao1372
果洛,guoluo120013
连江,lianjiang2657
建水,jianshui2151
通山,tongshan2706
温岭,wenling546
米林,milin2448
海阳,haiyang1188
宁安,ningan2233
抚州,fuzhou875
新郑,xinzheng2264
临沧,lincang926
珲春,hunchun2461
从江,congjiang2344
张北,zhangbei2575
鸡西,jixi852
福清,fuqing1152
平阳,pingyang1012
沂南,yinan2036
固原,guyuan888
普兰,pulan2440
崇州,chongzhou909
巩义,gongyi1846
海盐,haiyan529
阜新,fuxin879
临夏,linxia833
泾县,jingxian2616
兴平,xingping2739
瓦房店,wafangdian2136
铁岭,tieling589
大新,daxin963
涞源,laiyuan2549
青田,qingtian2247
衡水,hengshui461
铜川,tongchuan907
惠安,huian2680
敦化,dunhua1388
榕江,rongjiang2346
景宁,jingning2034
都匀,duyun678
金沙,jinsha2338
东海,donghai3078
松原,songyuan873
巴彦淖尔,bayannaoer883
图们,tumen2466
新津,xinjin3124
澄江,chengjiang2171
宁乡,ningxiang2846
锡林浩特,xilinhaote1373
随州,suizhou860
祁连,qilian120123
安新,anxin2521
宽甸,kuandian2137
漯河,luohe664
海东,haidong120010
长海,changhai516
江山,jiangshan1000
根河,genhe2955
五指山,wuzhishan982
东山,dongshan2662
休宁,xiuning2625
荥阳,xingyang1842
四平,siping556
贵港,guigang711
儋州,danzhou841
淮南,huainan638
浦江,pujiang1002
连州,lianzhou1141
济源,jiyuan640
洪湖,honghu2031
勉县,mianxian2779
来宾,laibin839
新余,xinyu878
乐亭,leting2082
